macPrefix,vendor,OS_family
88:D5:0C,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
F4:B7:B3,"vivo Mobile Communication Co., Ltd.",android
98:6F:60,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
4C:18:9A,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
3C:F5:91,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
60:21:01,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
70:78:8B,"vivo Mobile Communication Co., Ltd.",android
94:14:7A,"vivo Mobile Communication Co., Ltd.",android
00:EC:0A,Xiaomi Communications Co Ltd,android
30:84:54,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
94:D0:29,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
4C:49:E3,Xiaomi Communications Co Ltd,android
A8:BE:27,"Apple, Inc.",macos
B8:63:4D,"Apple, Inc.",macos
6C:96:CF,"Apple, Inc.",macos
30:35:AD,"Apple, Inc.",macos
90:AD:F7,"vivo Mobile Communication Co., Ltd.",android
EC:D0:9F,Xiaomi Communications Co Ltd,android
84:41:67,"Apple, Inc.",macos
B4:F6:1C,"Apple, Inc.",macos
08:4A:CF,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
1C:DD:EA,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
A4:E9:75,"Apple, Inc.",macos
C0:A5:3E,"Apple, Inc.",macos
98:00:C6,"Apple, Inc.",macos
78:7B:8A,"Apple, Inc.",macos
38:66:F0,"Apple, Inc.",macos
20:EE:28,"Apple, Inc.",macos
08:F4:AB,"Apple, Inc.",macos
8C:85:90,"Apple, Inc.",macos
50:8F:4C,Xiaomi Communications Co Ltd,android
78:88:6D,"Apple, Inc.",macos
A8:5C:2C,"Apple, Inc.",macos
00:DB:70,"Apple, Inc.",macos
38:6E:A2,"vivo Mobile Communication Co., Ltd.",android
B0:19:C6,"Apple, Inc.",macos
58:E2:8F,"Apple, Inc.",macos
AC:1F:74,"Apple, Inc.",macos
F4:F5:DB,Xiaomi Communications Co Ltd,android
E4:46:DA,Xiaomi Communications Co Ltd,android
EC:51:BC,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
F0:79:E8,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
DC:55:83,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
9C:E3:3F,"Apple, Inc.",macos
F0:98:9D,"Apple, Inc.",macos
AC:E4:B5,"Apple, Inc.",macos
E4:2B:34,"Apple, Inc.",macos
1C:36:BB,"Apple, Inc.",macos
3C:2E:FF,"Apple, Inc.",macos
F0:6D:78,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
E4:9A:DC,"Apple, Inc.",macos
B8:C1:11,"Apple, Inc.",macos
34:08:BC,"Apple, Inc.",macos
B0:CA:68,"Apple, Inc.",macos
EC:7D:11,"vivo Mobile Communication Co., Ltd.",android
80:B0:3D,"Apple, Inc.",macos
C8:3C:85,"Apple, Inc.",macos
A0:4E:A7,"Apple, Inc.",macos
40:9C:28,"Apple, Inc.",macos
3C:A6:16,"vivo Mobile Communication Co., Ltd.",android
24:F6:77,"Apple, Inc.",macos
78:67:D7,"Apple, Inc.",macos
54:33:CB,"Apple, Inc.",macos
D0:D2:B0,"Apple, Inc.",macos
D8:8F:76,"Apple, Inc.",macos
3C:2E:F9,"Apple, Inc.",macos
3C:A5:81,"vivo Mobile Communication Co., Ltd.",android
34:E9:11,"vivo Mobile Communication Co., Ltd.",android
18:F0:E4,Xiaomi Communications Co Ltd,android
70:47:E9,"vivo Mobile Communication Co., Ltd.",android
50:3C:EA,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
04:B1:67,Xiaomi Communications Co Ltd,android
B8:07:16,"vivo Mobile Communication Co., Ltd.",android
D4:1A:3F,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
0C:98:38,Xiaomi Communications Co Ltd,android
D8:63:75,Xiaomi Communications Co Ltd,android
F0:76:6F,"Apple, Inc.",macos
40:CB:C0,"Apple, Inc.",macos
40:98:AD,"Apple, Inc.",macos
6C:4D:73,"Apple, Inc.",macos
C4:84:66,"Apple, Inc.",macos
D0:2B:20,"Apple, Inc.",macos
D0:81:7A,"Apple, Inc.",macos
C4:61:8B,"Apple, Inc.",macos
68:AB:1E,"Apple, Inc.",macos
2C:61:F6,"Apple, Inc.",macos
98:CA:33,"Apple, Inc.",macos
68:EF:43,"Apple, Inc.",macos
CC:2D:B7,"Apple, Inc.",macos
D4:A3:3D,"Apple, Inc.",macos
E4:E0:A6,"Apple, Inc.",macos
70:EF:00,"Apple, Inc.",macos
08:E6:89,"Apple, Inc.",macos
DC:56:E7,"Apple, Inc.",macos
34:7C:25,"Apple, Inc.",macos
D4:90:9C,"Apple, Inc.",macos
38:E6:0A,Xiaomi Communications Co Ltd,android
94:63:72,"vivo Mobile Communication Co., Ltd.",android
44:9E:F9,"vivo Mobile Communication Co., Ltd.",android
04:D1:3A,Xiaomi Communications Co Ltd,android
58:7A:6A,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
E4:C4:83,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",android
80:AD:16,Xiaomi Communications Co Ltd,android
0C:F3:46,Xiaomi Communications Co Ltd,android
9C:2E:A1,Xiaomi Communications Co Ltd,android
C0:B6:58,"Apple, Inc.",macos
88:19:08,"Apple, Inc.",macos
